Generation,Commitment,Curtailment,Cost,MIP_Gap
21.4,1.0,0.0,856577.8560854476,optimal
42.0,1.0,0.0,856577.8560854476,optimal
441.886468,1.0,0.0,856577.8560854476,optimal
16.5,1.0,1.4210854715202004e-14,856577.8560854476,optimal
24.7,1.0,0.0,856577.8560854476,optimal
570.0,1.0,0.0,856577.8560854476,optimal
149.856,0.0,0.0,856577.8560854476,optimal
149.856,0.0,1.4921397450962104e-13,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
0.0,0.0,52.09344,856577.8560854476,optimal
0.0,0.0,64.69248,856577.8560854476,optimal
0.0,1.0,49.22112,856577.8560854476,optimal
0.0,0.0,37.700759999999676,856577.8560854476,optimal
32.3078,0.0,0.0,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
0.0,1.0,0.0,856577.8560854476,optimal
0.0,1.0,0.0,856577.8560854476,optimal
163.3088,1.0,0.0,856577.8560854476,optimal
3.184932,1.0,0.0,856577.8560854476,optimal
0.0,1.0,0.0,856577.8560854476,optimal
21.4,1.0,0.0,856577.8560854476,optimal
42.0,0.0,0.0,856577.8560854476,optimal
373.4019879999999,0.0,0.0,856577.8560854476,optimal
16.5,0.0,0.0,856577.8560854476,optimal
24.7,0.0,0.0,856577.8560854476,optimal
570.0,0.0,0.0,856577.8560854476,optimal
149.856,0.0,3.375077994860476e-13,856577.8560854476,optimal
149.856,0.0,0.0,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
0.0,1.0,3.184932,856577.8560854476,optimal
0.0,0.0,3.184932,856577.8560854476,optimal
0.0,0.0,3.184932,856577.8560854476,optimal
0.0,0.0,3.184932,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
32.3078,0.0,0.0,856577.8560854476,optimal
0.0,1.0,0.0,856577.8560854476,optimal
0.0,1.0,0.0,856577.8560854476,optimal
0.0,1.0,0.0,856577.8560854476,optimal
0.0,1.0,0.0,856577.8560854476,optimal
0.0,1.0,0.0,856577.8560854476,optimal
0.0,1.0,0.0,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
169.79327999999998,0.0,0.0,856577.8560854476,optimal
3.184932,0.0,0.0,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
21.4,0.0,0.0,856577.8560854476,optimal
42.0,0.0,0.0,856577.8560854476,optimal
393.084868,0.0,2.2737367544323206e-13,856577.8560854476,optimal
16.5,0.0,0.0,856577.8560854476,optimal
24.7,1.0,0.0,856577.8560854476,optimal
570.0,0.0,0.0,856577.8560854476,optimal
149.856,0.0,16.140199999999822,856577.8560854476,optimal
149.856,0.0,54.29019999999991,856577.8560854476,optimal
0.0,0.0,67.39019999999982,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
0.0,0.0,0.0,856577.8560854476,optimal
0.0,1.0,0.0,856577.8560854476,optimal
0.0,1.0,0.0,856577.8560854476,optimal
0.0,1.0,0.0,856577.8560854476,optimal
0.0,1.0,0.0,856577.8560854476,optimal
32.3078,1.0,0.0,856577.8560854476,optimal
0.0,1.0,0.0,856577.8560854476,optimal
0.0,0.0,,856577.8560854476,optimal
0.0,0.0,,856577.8560854476,optimal
0.0,0.0,,856577.8560854476,optimal
0.0,0.0,,856577.8560854476,optimal
0.0,0.0,,856577.8560854476,optimal
0.0,0.0,,856577.8560854476,optimal
115.1104,0.0,,856577.8560854476,optimal
3.184932,0.0,,856577.8560854476,optimal
0.0,1.0,,856577.8560854476,optimal
21.4,0.0,,856577.8560854476,optimal
42.0,0.0,,856577.8560854476,optimal
451.6423079999998,0.0,,856577.8560854476,optimal
16.5,0.0,,856577.8560854476,optimal
24.7,0.0,,856577.8560854476,optimal
570.0,0.0,,856577.8560854476,optimal
149.856,0.0,,856577.8560854476,optimal
149.856,1.0,,856577.8560854476,optimal
0.0,1.0,,856577.8560854476,optimal
0.0,1.0,,856577.8560854476,optimal
0.0,1.0,,856577.8560854476,optimal
0.0,1.0,,856577.8560854476,optimal
0.0,1.0,,856577.8560854476,optimal
0.0,0.0,,856577.8560854476,optimal
0.0,0.0,,856577.8560854476,optimal
0.0,0.0,,856577.8560854476,optimal
32.3078,0.0,,856577.8560854476,optimal
0.0,0.0,,856577.8560854476,optimal
0.0,0.0,,856577.8560854476,optimal
0.0,0.0,,856577.8560854476,optimal
0.0,0.0,,856577.8560854476,optimal
0.0,1.0,,856577.8560854476,optimal
0.0,0.0,,856577.8560854476,optimal
0.0,0.0,,856577.8560854476,optimal
